İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/1518,Karinna Gümbet,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gümbet Mahallesi 1532. Sokağı No:1 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1519,Kefaluka Resort Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Akyarlar Mahallesi Barış Manço Caddesi No:63 /A Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1523,Nasrettin Hoca Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Nasrettin Hoca Mahallesi Atatürk Sokağı No:114 /A Sivrihisar / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/1524,Rota Parking,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Koltan Mahallesi Koltan Sokağı No:54 Sivrihisar / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/1526,Marmaris Hotel Aqua,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İçmeler Mahallesi Cumhuriyet Caddesi Sahil Sokağı No:27 Marmaris / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1527,Marmaris Siteler Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Siteler Mahallesi No:66 Marmaris / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1528,Maya Otel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Tepecik Mahallesi Grence Sokağı No:32 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1536,Mirage Family Club Hotel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dimril Mahallesi Tilkicik Caddesi No:50 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1539,Paşalı Bosch Araç Servisi Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Konakçık Mahallesi No:230 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1541,Rammos Otel Bodrum,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Turgutreis Mahallesi 4031. Sokağı No:1 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1543,THE RİTZ CARLTON RZİDENCE,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dirimli Mahallesi Flipper Sokağı No:16 Tilkicik Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1546,TP Hüdaverdi Petrol Köyceğiz Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeni Mahallesi No:39 Muğla Fethiye Otouolu D-400 Köyceğiz / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1554,Vogue Otel Bodrum,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Torba Mahallesi No:10 Usuluk Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1555,Xanadu Island Hotel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Akyarlar Mahallesi Akyarlar Burnu Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1557,Xuma Village Otel Bodrum,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Merkez Mahallesi Küdür Caddesi No:81 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1558,Yalıkavak Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalıkavak Mahallesi İnönü Caddesi No:82 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1562,Cocos The Club Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,2.çark Plajı Mahallesi 18000. Sokağı No:8 2.çark Plajı Çeşme / İZMİR,,Buton yok veya okunamadı
ŞRJ/1564,Dalyanköy Plaza Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dalyan Mahallesi 4227. Sokağı No:28 Dalyan Çeşme / İZMİR,,Buton yok veya okunamadı
ŞRJ/1592,TP Ay-Pet Petrol Ankara,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Plevne Mahallesi No:203 Beypazarı Sincan Yolu Sincan / ANKARA,,Buton yok veya okunamadı
ŞRJ/1599,Bolu Bayzade Tesisleri Ankara Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,"Bayzade Tesisleri, Ankara Yönü, Mahallesi Yukarısoku Merkez / BOLU",,Buton yok veya okunamadı
ŞRJ/1600,Bolu Bayzade Tesisleri İstanbul Yönü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bolu Beyzade Tesisleri İstanbul Yönü Mahallesi Yukarısoku Merkez / BOLU,,Buton yok veya okunamadı
ŞRJ/1603,Elmalık Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Emlmalık Öyü E-5 Üzeri Mahallesi Ömertepe Köy Sokağı No:99 Elmalık Mücavir Merkez / BOLU,,Buton yok veya okunamadı
ŞRJ/1604,MC Sapanca Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kurtköy Mahallesi Değirmen 1 Sokağı No:20 Sapanca / SAKARYA,,Buton yok veya okunamadı
ŞRJ/1607,Chataeu Kalpak Şarköy,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gelibolu Yolu 7.km Mahallesi Şarköy / TEKİRDAĞ,,Buton yok veya okunamadı
ŞRJ/1609,Ramada by Wyndham Tekirdağ,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Nusratlı Mahallesi No:21 Süleymanpaşa / TEKİRDAĞ,,Buton yok veya okunamadı
ŞRJ/1611,TP Şarköy Maraş Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstiklal Mahallesi İstanbul Caddesi No:3 Şarköy / TEKİRDAĞ,,Buton yok veya okunamadı
ŞRJ/1613,Alibey Club Manavgat,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi Meydan Alanı Caddesi No:60 /A Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1614,Alibey Resort Sorgun,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Acısu Mahallesi No:26 /A Side Acısu Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1615,Antalya Aktürk Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yengöl Mahallesi No:90 Havalimanı -lara Yolu Muratpaşa / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1616,Antamotion Otomotiv Bosch Araç Servisi Antalya,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Topçular Mahallesi 1015. Sokağı No:9 Muratpaşa / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1620,Belazur Resort Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Boğazkent Mahallesi 31. Sokağı No:8 Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1621,Belek Beach Resort Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Boğazkent Mahallesi 40. Sokağı No:6 Serik / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1622,Calyptus Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 60. Sokağı No:54 /1 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1623,Castival Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi No:91 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1625,Deniz Feneri Lighthouse Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çukurbağ Mahallesi Beyhan Cenkci Caddesi No:54 Kaş / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1627,IC Hotels Santai Family Resort,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Havalimanı Yolu Güzelyurt Mevkii Çalkaya Aksu Ic Aırport Otel Mahallesi Havalimanı Yolu Güzelyurt Mevkii Çalkaya Aksu Ic Aırport Otel Aksu / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1630,Sidemarin Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ilıca Mahallesi 9. Sokağı No:13 Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1631,TBL Pal Garden Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kızılağaç Mahallesi Kızılağaç Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1632,True Blue Boutique Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kalkan Mahallesi Begonvil Sokağı No:25 Kaş / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1633,TT HOTELS PEGASOS WORLD HOTEL,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sorgun Mahallesi No:20 Acısu Manavgat / ANTALYA,,Buton yok veya okunamadı
ŞRJ/1636,ABT Bosch Araç Servisi İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İkitelli Osb Mahallesi No:42 /E Başakşehir / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1643,Mavi Ay Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güvercinlik Mahallesi Asfalt Caddesi No:157 Fatsa / ORDU,,Buton yok veya okunamadı
ŞRJ/1668,Anpa Gross Kartal,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Orta Mahallesi Yalnız Selvi Caddesi No:6 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1671,Hasan Usta Kebap,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Koşuyolu Mahallesi Dr.eyyüp Aksoy Caddesi No:29 Kadıköy / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1675,Optimal Bosch Araç Servisi İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalı Mahallesi Mareşal Fevzi Çakmak Caddesi No:60 Maltepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1676,Sancakpark AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi Ankara Caddesi No:47 Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1677,Sinpaş Kelebekia Sitesi,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Abdurrahmangazi Mahallesi Ebubekir Caddesi Mersin Sokağı No:27 Sancaktepe / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1681,Demosan Otel Karaman,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilada Mahallesi Mut Caddesi No:107 Merkez / KARAMAN,,Buton yok veya okunamadı
ŞRJ/1694,AKGÜL PETROL 1,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi Adnan Menderes Caddesi No:72 Alaşehir / MANİSA,,Buton yok veya okunamadı
ŞRJ/1695,AKGÜL PETROL 2,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İzmir Yolu Mahallesi İzmir Yolu Üzeri 1.ci Kilometre Alaşehir / MANİSA,,Buton yok veya okunamadı
ŞRJ/1698,AKHİSAR O320 İSTANBUL YÖNü,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ballıca Mahallesi 16. Sokağı No:16 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/1700,Anemon Otel Kula,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi Merkez Caddesi No:317 Sandal Belediyesi Kula / MANİSA,,Buton yok veya okunamadı
ŞRJ/1701,cihan petrol ahmetli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Alahıdır Mahallesi No:483 /A/2 Ahmetli / MANİSA,,Buton yok veya okunamadı
ŞRJ/1702,Çözel Otomotiv Bosch Araç Servisi Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,2.anafartalar Mahallesi No:36 /A Şehzadeler / MANİSA,,Buton yok veya okunamadı
ŞRJ/1704,Hotel La Bella Alaşehir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeni Mahallesi No:376 Alaşehir / MANİSA,,Buton yok veya okunamadı
ŞRJ/1705,Hotel La Bella Soma,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi Bergama Caddesi No:14 Soma / MANİSA,,Buton yok veya okunamadı
ŞRJ/1706,Hotel Palm City Akhisar,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ulu Camii Mahallesi 374. Sokağı No:82 Akhisar / MANİSA,,Buton yok veya okunamadı
ŞRJ/1707,Manisa 45 Park AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güzelyurt Mahallesi 5737. Sokağı No:3 Yunusemre / MANİSA,,Buton yok veya okunamadı
ŞRJ/1708,Manisa Zorpet,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,75.yıl Mahallesi 5305. Sokağı No:3 Yunusemre / MANİSA,,Buton yok veya okunamadı
ŞRJ/1710,Özdemir Petrol Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İstasyon Mahallesi No:116 Manisa Akhisar Yolu Alaşehir / MANİSA,,Buton yok veya okunamadı
ŞRJ/1711,Palmcity Hotel Turgutlu Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Subaşı Mahallesi No:256 Turgutlu / MANİSA,,Buton yok veya okunamadı
ŞRJ/1712,Ramada by Wyndham Soma,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kozanlı Mahallesi Bergama Caddesi Soma / MANİSA,,Buton yok veya okunamadı
ŞRJ/1713,Salihli Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Durasalı Mahallesi 92. Sokağı No:44 /1 Salihli / MANİSA,,Buton yok veya okunamadı
ŞRJ/1714,Suresto Salihli,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yeşilyurt Mahallesi 797. Sokağı No:51 /1 Salihli / MANİSA,,Buton yok veya okunamadı
ŞRJ/1715,TP İmza Akaryakıt Manisa,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Güldede Mahallesi Gazi Caddesi No:199 /A Ahmetli / MANİSA,,Buton yok veya okunamadı
ŞRJ/1744,Aguasis De Luxe Resort Otel Didim,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çamlık Mahallesi Üç Mevsim Caddesi No:77 /A Didim / AYDIN,,Buton yok veya okunamadı
ŞRJ/1745,ALİ ALHAN ET LOKANTASI,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Erbeyli Mahallesi Asfalt Kenarı Caddesi No:5 /1/1 İncirliova / AYDIN,,Buton yok veya okunamadı
ŞRJ/1747,Cactus Fleur Beach Club Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dimril Mahallesi Tilkicik Caddesi No:81 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1748,Caresse Hotel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Asarlık Mahallesi Adnan Menderes Caddesi No:89 Asarlık Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1749,Dalaman Dalyan Petrol Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gürköy Mahallesi Fethiye Çevreyolu Caddesi Gürköy Dalaman / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1755,Liona Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gündoğan Mahallesi Kızıl Burun Caddesi No:47 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1760,Şirin Petrol,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sümer Mahallesi No:71 Merkezefendi / DENİZLİ,,Buton yok veya okunamadı
ŞRJ/1761,TP Hüdaverdi Petrol Ortaca Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ekşiliyurt Mahallesi No:402 Dalyan Yolu Üzeri Ekşiliyurt Ortaca / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1768,FOLKART TİME BORNOVA,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kazımdirik Mahallesi Ankara Caddesi 284. Sokağı No:2 /1 Bornova / İZMİR,,Buton yok veya okunamadı
ŞRJ/1769,Gümüş Plaza,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Çınar Mahallesi 5003. Sokağı No:2 /2 Bornova / İZMİR,,Buton yok veya okunamadı
ŞRJ/1779,MG Doğan Trend Otomotiv İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dokuz Eylül Mahallesi Akçay Caddesi No:145 Gaziemir / İZMİR,,Buton yok veya okunamadı
ŞRJ/1780,Millenium Otomotiv,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Sevgi Mahallesi 902. Sokağı No:8 /1 Gaziemir / İZMİR,,Buton yok veya okunamadı
ŞRJ/1781,Modern Sitesi 2,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi 8268. Sokağı No:3 /A Çiğli / İZMİR,,Buton yok veya okunamadı
ŞRJ/1782,Monza Motors İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Afitbey Mahallesi Akçay Caddesi No:283 Gaziemir / İZMİR,,Buton yok veya okunamadı
ŞRJ/1783,Plaza Otel İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Korutürk Mahallesi Mitatpaşa Caddesi No:285 Balçova / İZMİR,,Buton yok veya okunamadı
ŞRJ/1784,Soyak Sieasta,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İnönü Mahallesi 6660. Sokağı No:2 Karşıyaka / İZMİR,,Buton yok veya okunamadı
ŞRJ/1785,Sportsnmore AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Karamandere Mahallesi 767. Sokağı No:13 Güzelbahçe / İZMİR,,Buton yok veya okunamadı
ŞRJ/1786,Tırak Bosch Araç Servisi İzmir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Balatçık Mahallesi Anadolu Caddesi 8789. Sokağı No:1 Çiğli / İZMİR,,Buton yok veya okunamadı
ŞRJ/1906,Anadolu Hisarı Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Göztepe Mahallesi Atatürk Caddesi No:1 Beykoz / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1908,Birsay Bosch Araç Servisi Libadiye,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bulgurlu Mahallesi Libadiye Caddesi No:4 /B Üsküdar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1909,Kartal Sahil Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Kordonboyu Mahallesi Şahane Sokağı No:3 Kartal / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1911,Migros Ataşehir,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi No:7 Ataşehir / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1912,Soyak Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ünalan Mahallesi Libadiye Caddesi Soyak Sit. Sokağı Ümraniye / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1921,La Quinta By Wyndham İstanbul,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,15 Temmuz Mahallesi Bahar Caddesi No:61 Bağcılar / İSTANBUL,,Buton yok veya okunamadı
ŞRJ/1923,Çavuşoğlu Tower Otel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yarahmet Mahallesi No:1 /A Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/1929,Modern Sitesi,Özel,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Ataşehir Mahallesi 8001/1. Sokağı No:1 Çiğli / İZMİR,,Buton yok veya okunamadı
ŞRJ/1931,Otel Dündar,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Feritpaşa Mahallesi Kerkük Caddesi No:34 Selçuklu / KONYA,,Buton yok veya okunamadı
ŞRJ/1934,Mövenpick Otel Trabzon,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yalıncak Mahallesi Yalıncak Rize Caddesi No:21 /E Ortahisar / TRABZON,,Buton yok veya okunamadı
