İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/8086,PRYM LUXURY RESIDENCE TOKAT,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Topçam Mahallesi Vali Recep Yazıcıoğlu Caddesi 3506 Sokağı No:78 Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/15994,Trio Yaşam Merkezi,Halka Açık,varr TM,DESA ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,DESA ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Görükle Mahallesi Atatürk Caddesi No:101/A Yurt Sitesi Nilüfer / BURSA,,Buton yok veya okunamadı
ŞRJ/15998,PO Çorlu (Kaptanlar),Halka Açık,5 şarj,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,Kazımiye Mahallesi Salih Omurtak Caddesi No:56A Çorlu / TEKİRDAĞ,,Buton yok veya okunamadı
ŞRJ/16004,Pelit Taşpınar Çamalan Dinlenme Tesisleri Adana Yönü,Halka Açık,Trugo,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TRUGO AKILLI ŞARJ ÇÖZÜMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Yeniköy Mahallesi Yeniköy Merkez Sokağı No:65/1A E-90 Tck Üzeri Tarsus / MERSİN,,Buton yok veya okunamadı
ŞRJ/4651,ARATLAR PETROL,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Yeniyurt Mahallesi No:16 Merkez / TOKAT,,Buton yok veya okunamadı
ŞRJ/5490,TOSYA ONUR PARK PLUS,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Karşıyaka Mahallesi Atatürk Caddesi No:222 Ermelik Tosya / KASTAMONU,,Buton yok veya okunamadı
ŞRJ/4660,ANKARA GRAND MERCURE OTEL DC,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Beştepe Mahallesi Yaşam Caddesi 1. Sk Sokağı No:7/B Yenimahalle / ANKARA,,Buton yok veya okunamadı
ŞRJ/16013,PO Yıldırım (Acar),Halka Açık,5 şarj,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ,Esenevler Mahallesi Ankara Yolu Caddesi No:520 Yıldırım / BURSA,,Buton yok veya okunamadı
ŞRJ/16015,YENİŞEHİR MY HOUSE AÇIK OTOPARK,Halka Açık,VOLTRUN,VOLTRUN ENERJİ ANONİM ŞİRKETİ,VOLTRUN ENERJİ ANONİM ŞİRKETİ,Kurtuluş Mahallesi Fetih Caddesi No:28 Yenişehir / BURSA,,Buton yok veya okunamadı
ŞRJ/11947,OCAKLI TESİSLERİ SUNGURLU,Halka Açık,i-şarj,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ,Örnekevler Mahallesi 1038 . Sokağı No:5 Ocaklı Dinlenme Tesisleri Sungurlu / ÇORUM,,Buton yok veya okunamadı
